depArr,distance,angle_error,distance_long,operation_mode,angle_sum,QDepDep,QDepArr,QArrDep,QArrArr,Ndep,Narr,NDepDep,NDepArr,NArrDep,NArrArr,Pressure,VisibilityInMeters,TemperatureInCelsius,WindSpeedInMPS,isRain,isSnow,isDrizzle,isFog,isMist,isHaze,isHail,budget,aircraft_weight,AvgSpdLast5Dep,AvgSpdLast5Arr,AvgSpdLast5,AvgSpdLast10Dep,AvgSpdLast10Arr,AvgSpdLast10,TaxiTime
0,5900.185587,2,4896.771612,0,860.81,3,2,0,0,0,0,0,0,0,0,30.33,10000,14,3.6036,0,0,0,0,0,0,0,2,3,319.4364629,497.2819373,334.1893067,349.1180846,453.2496467,406.4836332,27.63333333
0,3238.701808,0,2219.169601,0,614.3,0,3,0,0,0,0,0,0,0,0,30.21,7000,17,5.148,0,0,1,0,0,0,0,2,3,301.164482,382.747766,382.747766,234.4638444,400.4897056,407.5192063,25.69216667
0,5597.131715,2,4986.48571,0,685.09,0,0,0,0,0,0,0,0,0,0,30.12,10000,18,7.2072,0,0,0,0,0,0,0,2,2,225.1575589,367.234723,367.234723,225.1575589,357.5904395,357.5904395,24.85873333
0,5871.605229,2,4474.276499,0,998.05,1,1,0,0,0,0,0,0,0,0,30.12,10000,18,3.6036,0,0,0,0,0,0,0,2,3,327.5023564,467.1696547,302.9705875,349.2284742,402.6253457,344.9364468,23.6
0,5629.274737,2,4880.520279,0,719.32,0,1,0,0,0,0,0,0,0,0,30.21,10000,17,7.722,0,0,0,0,0,0,0,2,3,293.7096014,407.341224,423.8220238,257.4540802,434.5729741,350.5254127,23.53333333
0,3358.402256,2,2637.317027,0,374.55,1,6,0,0,0,0,0,0,0,0,30.12,10000,17,6.6924,0,0,0,0,0,0,0,2,3,255.1057175,528.1507897,528.1507897,235.8679379,525.6227105,457.9555116,21.76666667
0,6434.712453,2,4522.164142,1,809.08,0,3,0,0,0,0,0,0,0,0,30.33,10000,16,4.6332,0,0,0,0,0,0,0,2,3,390.0206541,456.2803654,462.6225067,384.9668919,450.8114834,472.2439446,21.56666667
0,5434.681262,2,3739.234998,1,792.01,0,4,0,0,0,0,0,0,0,0,30.15,10000,16,5.6628,0,0,0,0,0,0,0,2,3,464.880217,418.4219999,522.9575712,452.0867936,461.1463358,501.3252377,21.26666667
0,6463.892348,4,4372.328427,1,1503.86,0,8,0,0,0,0,0,0,0,0,30.03,7000,20,8.7516,0,0,0,0,0,0,0,2,3,217.8362806,547.9649087,547.9649087,271.8601633,494.64203,426.5876595,20.7
0,3220.158172,2,2606.008618,0,376.6,0,1,0,0,0,0,0,0,0,0,30.15,10000,12,4.6332,0,0,0,0,0,0,0,2,3,314.0693435,448.458904,448.458904,286.274352,460.4445273,460.4445273,19.98333333
